A;B;C;D;E
2022_06_RLI_Klimaneutrales Stromsystem_E-Mailverteiler;;;;
Projekt-ID;5505;;;
URL der Umfrage;https://nw4478.customervoice360.com/uc/project_manager/7c96/;;;
Datum;11.07.2022 11:42:46;;;
;;;;
;;;;
1;System (PGID 34677);;;
;;;;
;;;;
3;Begrüßung & Instruktion (PGID 34679);;;
;;;;
;;;;
4;Eigenschaften KS (PGID 34680);;;
;;;;
Welche drei zentralen Eigenschaften beschreiben aus Deiner Sicht das „Klimaneutrale Stromsystem“? (q_47502 - Typ 143);;;;
v_129;v_129;varchar;Eigenschaft 1:;
v_130;v_130;varchar;Eigenschaft 2:;
v_131;v_131;varchar;Eigenschaft 3:;
 ;;;;
;;;;
;;;;
5;Synonyme KS & ES (PGID 34681);;;
;;;;
Begriffe sind manchmal nicht eindeutig definiert. Auf das klimaneutrale Stromsystem gibt es verschiedene Sichtweisen. Was trifft aus Deiner Sicht zu?„Klimaneutrales Stromsystem“ und „Erneuerbares Stromsystem“? sind ein Synonym. (q_47505 - Typ 111);;;;
v_137;v_137;int;Synonyme KS & ES;
;;1;Ja;
;;2;Eher ja;
;;3;Eher nein;
;;4;Nein;
 ;;;;
;;;;
;;;;
6;Filter: Nachfrage Synonyme KS & ES (PGID 34682);;;
;;;;
Filter;(v_137 = '3' or v_137 = '4');;;
 ;v_137 Synonyme KS & ES;Begriffe sind manchmal nicht eindeutig definiert. Auf das klimaneutrale Stromsystem gibt es verschiedene Sichtweisen. Was trifft aus Deiner Sicht zu?„Klimaneutrales Stromsystem“ und „Erneuerbares Stromsystem“? sind ein Synonym. - Synonyme KS & ES;gleich;3
or;v_137 Synonyme KS & ES;Begriffe sind manchmal nicht eindeutig definiert. Auf das klimaneutrale Stromsystem gibt es verschiedene Sichtweisen. Was trifft aus Deiner Sicht zu?„Klimaneutrales Stromsystem“ und „Erneuerbares Stromsystem“? sind ein Synonym. - Synonyme KS & ES;gleich;4
;;;;
;;;;
;;;;
6.1;Nachfrage Synonyme KS & ES (PGID 34683);;;
;;;;
Was ist der Unterschied zwischen dem „Klimaneutralen Stromsystem“ und „Erneuerbaren Stromsystem“? (q_47506 - Typ 142);;;;
v_138;v_138;blob;Unterschied KS & ES;
 ;;;;
;;;;
;;;;
7;1,5 Grad Ziel (PGID 34684);;;
;;;;
Ist das Ziel eines „Klimaneutralen Stromsystems“ bis 2035 für Deutschland aus Deiner Sicht kompatibel mit dem 1,5-Grad-Klimaziel? (q_47507 - Typ 111);;;;
v_139;v_139;int;1,5 Grad Ziel;
;;1;Ja;
;;2;Eher ja;
;;3;Eher nein;
;;4;Nein;
 ;;;;
;;;;
;;;;
8;Filter: Nachfrage 1,5 Grad Ziel (PGID 34685);;;
;;;;
Filter;(v_139 >= '3');;;
 ;v_139 1,5 Grad Ziel;Ist das Ziel eines „Klimaneutralen Stromsystems“ bis 2035 für Deutschland aus Deiner Sicht kompatibel mit dem 1,5-Grad-Klimaziel? - 1,5 Grad Ziel;größer gleich;3
;;;;
;;;;
;;;;
8.1;Nachfrage 1,5 Grad Ziel  (PGID 34686);;;
;;;;
Warum ist es nicht kompatibel, was fehlt Dir? (q_51785 - Typ 142);;;;
v_434;v_434;blob;Nachfrage 1,5 Grad Ziel;
 ;;;;
;;;;
;;;;
9;KS Zwischenschritt (PGID 34687);;;
;;;;
Stimmst Du folgender Einschätzung zu?     „Das Klimaneutrale Stromsystem ist ein Zwischenschritt auf dem Weg zum Klimaneutralen Energiesystem.“ (q_47513 - Typ 111);;;;
v_143;v_143;int;KS Zwischenschritt;
;;1;Ja;
;;2;Eher ja;
;;3;Eher nein;
;;4;Nein;
 ;;;;
;;;;
;;;;
10;Filter: Nachfrage KS Zwischenschritt (PGID 34688);;;
;;;;
Filter;(v_143 >= '3');;;
 ;v_143 KS Zwischenschritt;Stimmst Du folgender Einschätzung zu?     „Das Klimaneutrale Stromsystem ist ein Zwischenschritt auf dem Weg zum Klimaneutralen Energiesystem.“ - KS Zwischenschritt;größer gleich;3
;;;;
;;;;
;;;;
10.1;Nachfrage KS Zwischenschritt (PGID 34689);;;
;;;;
Wie würdest Du dann das Verhältnis des Klimaneutralen Stromsystems zum Klimaneutralen Energiesystem beschreiben? (q_50620 - Typ 142);;;;
v_171;v_171;blob;Verhältnis KS & KE;
 ;;;;
;;;;
;;;;
11;Eigenschaften KE (PGID 34690);;;
;;;;
Welche Eigenschaften beschreiben aus Deiner Sicht das „Klimaneutrale Energiesystem“? (q_50619 - Typ 143);;;;
v_168;v_168;varchar;Eigenschaft 1:;
v_169;v_169;varchar;Eigenschaft 2:;
v_170;v_170;varchar;Eigenschaft 3:;
 ;;;;
;;;;
;;;;
12;Strombedarf KS & KE (PGID 34691);;;
;;;;
Und nun denken wir an die Zielsysteme: Welchen Strombedarf wird Deutschland haben?  -  Im Klimaneutralen Stromsystem (q_47516 - Typ 911);;;;
v_148;v_148;int;Im Klimaneutralen Stromsystem;
 ;;;;
;;;;
(q_50621 - Typ 111);;;;
v_172;v_172;int;Zusatz;
;;1;Keine Angabe;
 ;;;;
;;;;
-  Im Klimaneutralen Energiesystem (q_47517 - Typ 911);;;;
v_149;v_149;int;Im Klimaneutralen Energiesystem;
 ;;;;
;;;;
(q_50622 - Typ 111);;;;
v_173;v_173;int;Zusatz;
;;1;Keine Angabe;
 ;;;;
;;;;
;;;;
13;Strom Import / Export (PGID 34692);;;
;;;;
Wie wird die Bilanz zur Deckung des Strombedarfs aussehen? (q_47518 - Typ 311);;;;
v_150;v_150;int;Im Klimaneutralen Stromsystem?;
;;1;DEU wird viel Strom exportieren;
;;2;DEU wird etwas Strom exportieren;
;;3;Ausgeglichene Bilanz;
;;4;DEU wird etwas Strom importieren;
;;5;DEU wird viel Strom importieren;
;;6;Keine Angabe;
v_151;v_151;int;Im Klimaneutralen Energiesystem?;
;;1;DEU wird viel Strom exportieren;
;;2;DEU wird etwas Strom exportieren;
;;3;Ausgeglichene Bilanz;
;;4;DEU wird etwas Strom importieren;
;;5;DEU wird viel Strom importieren;
;;6;Keine Angabe;
 ;;;;
;;;;
;;;;
14;Baustein Wasserstoff (PGID 34693);;;
;;;;
Grüner Wasserstoff wird ein entscheidender Baustein sein im (q_47519 - Typ 311);;;;
v_155;v_155;int;Klimaneutralen Stromsystem;
;;1;Ja;
;;2;Eher ja;
;;3;Eher nein;
;;4;Nein;
;;5;Keine Angabe;
v_156;v_156;int;Klimaneutralen Energiesystem;
;;1;Ja;
;;2;Eher ja;
;;3;Eher nein;
;;4;Nein;
;;5;Keine Angabe;
 ;;;;
;;;;
;;;;
15;Filter: Baustein Wasserstoff (PGID 34694);;;
;;;;
Filter;(v_156;;;
 ;v_156 Klimaneutralen Energiesystem;Grüner Wasserstoff wird ein entscheidender Baustein sein im - Klimaneutralen Energiesystem;kleiner gleich;2
;;;;
;;;;
;;;;
15.1;Wasserstoff Erzeugung / Import (PGID 34695);;;
;;;;
Welche Einschätzung teilst Du für die künftige Erzeugung des grünen Wasserstoffs? (q_47520 - Typ 111);;;;
v_157;v_157;int;Wasserstoff Erzeugung / Import;
;;1;Ausschließlich heimische Erzeugung;
;;2;Überwiegend heimische Erzeugung;
;;3;Ausgeglichen;
;;4;Überwiegend Importe;
;;5;Ausschließlich Importe;
 ;;;;
;;;;
;;;;
16;gesell. Herausforderungen KS (PGID 34696);;;
;;;;
Was sind aus Deiner Sicht die wichtigsten gesellschaftlichen Herausforderungen auf dem Weg ins Klimaneutrale Stromsystem? (q_50632 - Typ 143);;;;
v_208;v_208;varchar;Herausforderung 1:;
v_209;v_209;varchar;Herausforderung 2:;
v_210;v_210;varchar;Herausforderung 3:;
 ;;;;
;;;;
;;;;
17;Aufholbedarf KS Gesellschaft I (PGID 34697);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden gesellschaftlichen Bereichen ein? Prozessuale Teilhabe (q_50633 - Typ 311);;;;
v_313;v_313;int;Beteiligung an Flächenplanung;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_314;v_314;int;Transparente Planungsverfahren;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_315;v_315;int;Beteiligung an politischen Entscheidungen;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_316;v_316;int;Kommunale Teilhabe;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
18;Aufholbedarf KS Gesellschaft II (PGID 34698);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden gesellschaftlichen Bereichen ein?   Finanzielle Teilhabe/Geschäftsmodelle (q_50835 - Typ 311);;;;
v_330;v_330;int;Bürger:innenenergie;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_331;v_331;int;Mieter:innenstrom;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_333;v_333;int;Finanzielle Beteiligung;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
19;Aufholbedarf KS Gesellschaft III (PGID 34699);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden gesellschaftlichen Bereichen ein?   Suffizienz-Maßnahmen zur Nachfragereduktion im... (q_50833 - Typ 311);;;;
v_334;v_334;int;Verkehrssektor (z.B. Reduktion von Fahrten);
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_335;v_335;int;Wärmesektor (z.B. Wohnflächenreduzierung);
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_336;v_336;int;Stromsektor (z.B. aktives Stromsparen);
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_337;v_337;int;Individuelles Konsum- und Kaufverhalten;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
20;Aufholbedarf KS Gesellschaft IV (PGID 34700);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden gesellschaftlichen Bereichen ein?   Energiegerechtigkeit und Just Transition  (q_50834 - Typ 311);;;;
v_338;v_338;int;Gerechte Verteilung von Kosten und Nutzen zwischen Produzent:innen und Konsument:innen;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_339;v_339;int;Repräsentation  aller gesellschaftlichen Gruppen in Energiewendeprozessen;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_340;v_340;int;Gendergerechtigkeit in Energiewendeprozessen;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_341;v_341;int;Berücksichtigung Stadt-Land Unterschiede;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_343;v_343;int;Umschulung von im fossilen Sektor Beschäftigten;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_345;v_345;int;Zielkonflikt mit lokalem Naturschutz;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_346;v_346;int;Flächengerechtigkeit innerhalb einer Gemeinde;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
21;Aufholbedarf KS Gesellschaft Sonstiges (PGID 34701);;;
;;;;
Welche sonstigen gesellschaftlichen Bereiche fehlten hier, müssten aber noch stärker berücksichtigt werden? (q_50639 - Typ 143);;;;
v_224;v_224;varchar;Thema 1:;
v_225;v_225;varchar;Thema 2:;
v_226;v_226;varchar;Thema 3:;
 ;;;;
;;;;
;;;;
22;wirtschaftl. Herausforderungen KS (PGID 34702);;;
;;;;
Was sind aus Deiner Sicht die wichtigsten wirtschaftlichen Herausforderungen auf dem Weg ins Klimaneutrale Stromsystem? (q_50641 - Typ 143);;;;
v_227;v_227;varchar;Herausforderung 1:;
v_228;v_228;varchar;Herausforderung 2:;
v_229;v_229;varchar;Herausforderung 3:;
 ;;;;
;;;;
;;;;
23;Aufholbedarf KS Wirtschaft I (PGID 34703);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden wirtschaftlichen Bereichen ein?  Preise / Bepreisung (q_50836 - Typ 311);;;;
v_351;v_351;int;CO2-Bepreisung;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_352;v_352;int;Vermeidung negativer Strompreise;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_353;v_353;int;Netzengpassbepreisung;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_354;v_354;int;Netzentgelte (z.B. variable Verteilnetzentgelte);
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_355;v_355;int;Strompreiszonen;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_356;v_356;int;Variable Strompreise;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
24;Aufholbedarf KS Wirtschaft II (PGID 34704);;;
;;;;
